coding_exon,gene_start,gene_end,length,chr_start,chr_end,cds_start,cds_end,shared_by_all_isoforms,shared_by_curated_isoforms
1,99,272,174,57591290,57591463,1,174,False,True
2,2834,2931,98,57594025,57594122,175,272,False,True
3,3935,4031,97,57595126,57595222,273,369,False,True
4,4697,4840,144,57595888,57596031,370,513,False,False
5,7874,8020,147,57599065,57599211,514,660,True,True
6,8209,8247,39,57599400,57599438,661,699,False,True
7,9133,9246,114,57600324,57600437,700,813,False,True
8,9620,9887,268,57600811,57601078,814,1081,False,True
9,10054,10157,104,57601245,57601348,1082,1185,False,True
10,10335,10415,81,57601526,57601606,1186,1266,False,True
